ensg_id	gene_symbol	pmtl	latest_gene_symbol
ENSG00000223972	DDX11L1	NA	DDX11L1
ENSG00000227232	WASH7P	NA	WASH7P
ENSG00000278267	MIR6859-1	NA	MIR6859-1
ENSG00000243485	MIR1302-2HG	NA	MIR1302-2HG
ENSG00000284332	MIR1302-2	NA	MIR1302-2
ENSG00000237613	FAM138A	NA	FAM138A
ENSG00000240361	OR4G11P	NA	OR4G11P
ENSG00000186092	OR4F5	NA	OR4F5
ENSG00000233750	CICP27	NA	CICP27
ENSG00000222623	RNU6-1100P	NA	RNU6-1100P
ENSG00000273874	MIR6859-2	NA	MIR6859-2
ENSG00000236679	RPL23AP24	NA	RPL23AP24
ENSG00000269732	WBP1LP7	NA	WBP1LP7
ENSG00000284733	OR4F29	NA	OR4F29
ENSG00000233653	CICP7	NA	CICP7
ENSG00000278757	U6	NA	U6
ENSG00000225972	MTND1P23	NA	MTND1P23
ENSG00000225630	MTND2P28	NA	MTND2P28
ENSG00000237973	MTCO1P12	NA	MTCO1P12
ENSG00000229344	MTCO2P12	NA	MTCO2P12
ENSG00000240409	MTATP8P1	NA	MTATP8P1
ENSG00000248527	MTATP6P1	NA	MTATP6P1
ENSG00000198744	MTCO3P12	NA	MTCO3P12
ENSG00000268663	WBP1LP6	NA	WBP1LP6
ENSG00000284662	OR4F16	NA	OR4F16
ENSG00000229376	CICP3	NA	CICP3
ENSG00000223181	RNU6-1199P	NA	RNU6-1199P
ENSG00000177757	FAM87B	NA	FAM87B
ENSG00000228794	LINC01128	NA	LINC01128
ENSG00000225880	LINC00115	NA	LINC00115
ENSG00000230368	FAM41C	NA	FAM41C
ENSG00000234711	TUBB8P11	NA	TUBB8P11
ENSG00000187634	SAMD11	NA	SAMD11
ENSG00000188976	NOC2L	NA	NOC2L
ENSG00000187961	KLHL17	NA	KLHL17
ENSG00000187583	PLEKHN1	NA	PLEKHN1
ENSG00000187642	PERM1	NA	PERM1
ENSG00000188290	HES4	NA	HES4
ENSG00000187608	ISG15	NA	ISG15
ENSG00000188157	AGRN	NA	AGRN
ENSG00000237330	RNF223	NA	RNF223
ENSG00000131591	C1orf159	NA	C1orf159
ENSG00000223823	LINC01342	NA	LINC01342
ENSG00000207730	MIR200B	NA	MIR200B
ENSG00000207607	MIR200A	NA	MIR200A
ENSG00000198976	MIR429	NA	MIR429
ENSG00000205231	TTLL10-AS1	NA	TTLL10-AS1
ENSG00000162571	TTLL10	NA	TTLL10
ENSG00000186891	TNFRSF18	NA	TNFRSF18
ENSG00000186827	TNFRSF4	NA	TNFRSF4
ENSG00000078808	SDF4	NA	SDF4
ENSG00000176022	B3GALT6	NA	B3GALT6
ENSG00000184163	C1QTNF12	NA	C1QTNF12
ENSG00000160087	UBE2J2	NA	UBE2J2
ENSG00000230415	LINC01786	NA	LINC01786
ENSG00000162572	SCNN1D	NA	SCNN1D
ENSG00000131584	ACAP3	NA	ACAP3
ENSG00000278073	MIR6726	NA	MIR6726
ENSG00000169972	PUSL1	NA	PUSL1
ENSG00000127054	INTS11	NA	INTS11
ENSG00000283712	MIR6727	NA	MIR6727
ENSG00000224051	CPTP	NA	CPTP
ENSG00000169962	TAS1R3	NA	TAS1R3
ENSG00000107404	DVL1	NA	DVL1
ENSG00000284372	MIR6808	NA	MIR6808
ENSG00000162576	MXRA8	NA	MXRA8
ENSG00000175756	AURKAIP1	NA	AURKAIP1
ENSG00000223663	NDUFB4P8	NA	NDUFB4P8
ENSG00000221978	CCNL2	NA	CCNL2
ENSG00000242485	MRPL20	NA	MRPL20
ENSG00000264293	RN7SL657P	NA	RN7SL657P
ENSG00000235098	ANKRD65	NA	ANKRD65
ENSG00000205116	TMEM88B	NA	TMEM88B
ENSG00000225285	LINC01770	NA	LINC01770
ENSG00000179403	VWA1	NA	VWA1
ENSG00000215915	ATAD3C	NA	ATAD3C
ENSG00000160072	ATAD3B	NA	ATAD3B
ENSG00000197785	ATAD3A	NA	ATAD3A
ENSG00000205090	TMEM240	NA	TMEM240
ENSG00000160075	SSU72	NA	SSU72
ENSG00000228594	FNDC10	NA	FNDC10
ENSG00000197530	MIB2	NA	MIB2
ENSG00000189409	MMP23B	NA	MMP23B
ENSG00000248333	CDK11B	NA	CDK11B
ENSG00000189339	SLC35E2B	NA	SLC35E2B
ENSG00000215914	MMP23A	NA	MMP23A
ENSG00000008128	CDK11A	NA	CDK11A
ENSG00000008130	NADK	NA	NADK
ENSG00000078369	GNB1	NA	GNB1
ENSG00000169885	CALML6	NA	CALML6
ENSG00000178821	TMEM52	NA	TMEM52
ENSG00000142609	CFAP74	NA	CFAP74
ENSG00000187730	GABRD	NA	GABRD
ENSG00000067606	PRKCZ	NA	PRKCZ
ENSG00000182873	PRKCZ-AS1	NA	PRKCZ-AS1
ENSG00000162585	FAAP20	NA	FAAP20
ENSG00000157933	SKI	NA	SKI
ENSG00000116151	MORN1	NA	MORN1
ENSG00000157916	RER1	NA	RER1
ENSG00000157911	PEX10	NA	PEX10
ENSG00000149527	PLCH2	NA	PLCH2
ENSG00000157881	PANK4	NA	PANK4
ENSG00000197921	HES5	NA	HES5
ENSG00000238164	TNFRSF14-AS1	NA	TNFRSF14-AS1
ENSG00000157873	TNFRSF14	NA	TNFRSF14
ENSG00000142606	MMEL1	NA	MMEL1
ENSG00000215912	TTC34	NA	TTC34
ENSG00000169717	ACTRT2	NA	ACTRT2
ENSG00000142611	PRDM16	NA	PRDM16
ENSG00000283572	MIR4251	NA	MIR4251
ENSG00000130762	ARHGEF16	NA	ARHGEF16
ENSG00000162591	MEGF6	NA	MEGF6
ENSG00000207776	MIR551A	NA	MIR551A
ENSG00000158109	TPRG1L	NA	TPRG1L
ENSG00000116213	WRAP73	NA	WRAP73
ENSG00000078900	TP73	NA	TP73
ENSG00000227372	TP73-AS1	NA	TP73-AS1
ENSG00000162592	CCDC27	NA	CCDC27
ENSG00000235169	SMIM1	NA	SMIM1
ENSG00000130764	LRRC47	NA	LRRC47
ENSG00000266075	RN7SL574P	NA	RN7SL574P
