Abbrevation_internal	Abbrevation	OPC_molecular_subtype	Color_code	Molecular_superfamily	Molecular_family	Molecular_class	Molecular_subclass	description
GBM_IDH	A_IDH_HG	HGG, IDH	#DDCA11	Adult-type diffuse gliomas	diffuse glioma, IDH mutant	diffuse glioma, IDH-mutant and 1p19q retained [astroglial type], high grade	Astrocytoma, IDH-mutant; high grade	The "mc Astrocytoma, IDH-mutant; high grade" is comprised of diffusely infiltrating IDH1- or IDH2-mutant gliomas with frequent ATRX and/or TP53 mutation and absence of 1p/19q codeletion. Complete 1p/19q codeletion is not compatible with "IDH glioma, subclass astrocytoma" and if present should lead to diagnosis of an "IDH glioma, subclass 1p/19q codeleted oligodendroglioma". This mc is strongly enriched for CNS WHO grade 4 tumours, in contrast to the "mc astrocytoma, IDH-mutant; lower grade", which is enriched for CNS WHO grade 2 malignancies. Astrocytomas with IDH1 or IDH2 mutation can be located in any region of the CNS, including the brainstem and spinal cord, but they most commonly develop in the supratentorial compartment and are usually centred near or within the frontal lobes. The majority of patients present in their thirties or forties (median age: 38 years) with CNS WHO grade 2 or 3 tumours { 26061751 ; 25962792 }. CNS WHO grade 2 and 3 astrocytomas have similar age distributions, whereas patients with CNS WHO grade 4 tumours tend to be slightly older.
A_IDH	A_IDH_LG	LGG, IDH	#ECBF00	Adult-type diffuse gliomas	diffuse glioma, IDH mutant	diffuse glioma, IDH-mutant and 1p19q retained [astroglial type]	Astrocytoma, IDH-mutant; lower grade	The "mc astrocytoma, IDH-mutant; lower grade" mainly comprises tumours with astrocytic histology of WHO grades 2 and 3. This class universally harbors mutations of either IDH1 or IDH2 and the associated glioma CIMP phenotype. Tumours of this class usually have a supratentorial location but may also arise infratentorially; median age is 35 years (range 16 to 71). Complete 1p/19q codeletion is not compatible with "IDH glioma, subclass astrocytoma" and if present should lead to diagnosis of an "IDH glioma, subclass 1p/19q codeleted oligodendroglioma" despite a possibly higher classifier score for astrocytoma.
HGNET_MN1	ABM_MN1	CNS HGNET-MN1	#AB94C1	high-grade neuroepithelial tumour with MN1:BEND2 fusion	high-grade neuroepithelial tumour with MN1:BEND2 fusion	high-grade neuroepithelial tumour with MN1:BEND2 fusion	Astroblastoma, MN1-altered, MN1:BEND2-fused	The "mc Astroblastoma, MN1-altered, MN1:BEND2-fused" is comprised of circumscribed glial neoplasms with MN1 alteration that are typically composed of round, cuboidal, or columnar cells with variable pseudopapillary or perivascular growth, perivascular anucleate zones, and vascular and pericellular hyalinization. However, divergent histologies have also commonly been observed in this mc. tumours occur predominantly in the cerebral hemispheres, most often in the frontal and parietal lobes, but also in occipital and temporal regions. Patient ages range from 3 months to 40 years at clinical presentation (median: 15 years) .
LGG_MYB_A	AG_MYB	LGG, MYB/MYBL1	#9159DE	Low-grade glial/glioneuronal/neuroepithelial tumours	diffuse glioma, MYB- or MYBL1-altered	diffuse glioma, MYB(L1)-altered, subtype A [angiocentric glioma-type]	Angiocentric glioma, MYB/MYBL1-altered	The "mc angiocentric glioma, MYB/MYBL1-altered" mainly comprises tumours with the histological diagnosis of angiocentric glioma and to a lesser extent other low grade gliomas or glioneuronal tumours like dysembryoplastic neuroepithelial tumours and gangliogliomas. Location is mostly supratentorial, but some cases in the posterior fossa are also included; median age is 16 years (range 3 to 70). Molecularly, these tumours show a high rate of rearrangements of MYB (particularly MYB:QKI fusions) or MYBL1. Around 25% of cases show a partial loss of chromosome 6 involving the MYB gene. Besides this most cases show a flat profile in copy number analysis.
ANTCON	ANTCON		#ff9e4d	Adult-type diffuse gliomas	diffuse high-grade neuroepithelial tumour [adult-type]	anaplastic neuroepithelial tumour with condensed nuclei	Anaplastic neuroepithelial tumour with condensed nuclei	The "mc anaplastic neuroepithelial tumour with condensed nuclei" is a new tumor molecularly rendered tumor group. Data on clinical presentation and outcome is still being gathered. More than half of these tumors harbour gene fusions, mostly including NTRK.
RMS_alevolar	ARMS			rhabdomyosarcoma	alveolar rhabdomyosarcoma	rhabdomyosarcoma, alveolar subtype	Rhabdomyosarcoma, alveolar subtype	The "mc Rhabdomyosarcoma, alveolar subtype" represents a malignant tumour with histological features of primitive round cells and skeletal muscle differentiation. These tumours display either a PAX3:FOXO1 or PAX7:FOXO1 fusion. Peak incidence is between 10-25 years of age. This tumour is rarely, if at all, encountered in the CNS, and is included to give a better distinction for other sarcoma types that can occur intracranially.
ATRT_MYC	ATRT_MYC	ATRT, MYC	#006EAD	Other CNS embryonal tumours	Atypical teratoid rhabdoid tumour	Atypical teratoid rhabdoid tumour, MYC activated	Atypical teratoid rhabdoid tumour, MYC activated	The "mc atypical teratoid/rhabdoid tumour, MYC-subtype" exclusively comprises tumours with atypical teratoid/rhabdoid histology, although rhabdoid cells may be scarce in some instances. A supratentorial location is more common than infratentorial; median age is 2 years (range 0 to 25). Molecularly, virtually all cases show loss of INI1 (SMARCB1) protein, and this subtype shows activation of the MYC oncogene. Loss of SMARCB1 (either focal or as part of a larger deletion) is detectable in over 90% of cases by copy number analysis.
ATRT_SHH	ATRT_SHH	ATRT, SHH	#009CEA	Other CNS embryonal tumours	Atypical teratoid rhabdoid tumour	Atypical teratoid rhabdoid tumour, SHH activated	Atypical teratoid rhabdoid tumour, SHH activated	The "mc atypical teratoid rhabdoid tumour, SHH-subtype" exclusively comprises tumours with atypical teratoid/rhabdoid histology, although rhabdoid cells may be scarce in some instances. Supratentorial and infratentorial locations are equally likely; median age is 2 years (range 0 to 11). Molecularly, virtually all cases show loss of INI1 (SMARCB1) protein, and this subtype shows SHH pathway activation. Loss of SMARCB1 (in most cases as part of a chromosome 22 loss) is detectable in around 50% of cases by copy number analysis.
ATRT_TYR	ATRT_TYR	ATRT, TYR	#44AEFF	Other CNS embryonal tumours	Atypical teratoid rhabdoid tumour	Atypical teratoid rhabdoid tumour, Tyrosinase activated	Atypical teratoid rhabdoid tumour, Tyrosinase activated	The "mc atypical l teratoid rhabdoid tumour, TYR-subtype" exclusively comprises tumours with atypical teratoid/rhabdoid histology, although rhabdoid cells may be scarce in some instances. An infratentorial location is more common than supratentorial; median age is 1 year (range 0 to 9). Molecularly, virtually all cases show loss of INI1 (SMARCB1) protein, and many cases of this subtype show strong tyrosinase expression (mRNA & protein). Loss of chromosome 22 is observed in over 80% of cases by copy number analysis.
PGG	CAUDEQU_NET		#F5811D	Cranial and paraspinal nerve tumours	Cauda equina neuroendocrine tumour [paraganglioma]	Cauda equina neuroendocrine tumour [paraganglioma], subtype non-CIMP	Cauda equina neuroendocrine tumour [paraganglioma], subtype non-CIMP	The "mc Cauda equina neuroendocrine tumour" (previously Paraganglioma) represents a neuroendocrine neoplasm arising from specialized neural crest cells in the cauda equina / filum terminale region. The tumours in this mc do not show the CIMP phenotype due to SDH mutation seen in some paragangliomas/phaeochromocytomas arising in other locations. Most tumours show a flat copy number profile, and no recurrent genetic driver has been identified to date. These tumours are typically intradural, and are attached to the fiulm terminale or occaisonally a caudal nerve root. Peak incidence is in the fourth to sixth decade of life, with a slight preponderance in male patients (M:F ratio 1.5:1)
CHD3V	CHGL		#B37DEC	Circumscribed astrocytic tumours	chordoid glioma	chordoid glioma	Chordoid glioma, PRKCA-mutant	The " mc chordoid glioma, PRKCA-mutant " exclusively comprises tumours with the histological diagnosis chordoid glioma of the third ventricle. Location of all cases is in or around the third ventricle; median age is 47 years (range 26 to 61). Additional characteristic molecular features of this class are not known to date. Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis.
CHORDM	CHORDM		#FA8CFF	Mesenchymal, non-meningothelial tumours involving the CNS	Notochordal tumours	chordoma	Chordoma	The "mc chordoma" exclusively comprises tumours with the histological diagnosis chordoma. The most frequent locations are suprasellar and around the clivus. Median age is 37 years (range 14 to 71). Additional characteristic molecular features of this class are not known to date. Numeric chromosomal alteration are frequent, with over 50% of cases showing gain of chromosome 7 and/or loss of Chromosome 3p, 13 and 14.
CN	CN	CNC	#B85400	central neurocytoma	central neurocytoma	central neurocytoma	Central neurocytoma	The "mc central neurocytoma”" is exclusively comprised of tumours with the histological diagnosis central neurocytoma. A distinction between central neurocytoma and atypical central neurocytoma is currently not possible based on methylation profiling. Most frequent location is the lateral ventricle; median age is 27 years (range 14 to 70). Recurrent chromosomal alterations are not observed and most cases show a flat profile in copy number analysis.
