Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
TP53	1	0	0	0	15	4	0	1	0	21	14	14	29	48.275862068965516
EGFR	0	0	0	1	10	0	0	0	0	11	7	7	29	24.137931034482758
ATRX	3	1	0	0	4	2	0	0	0	10	6	6	29	20.689655172413794
RAMP2	0	0	5	0	1	0	0	0	0	6	6	6	29	20.689655172413794
TTN	0	0	0	0	49	6	0	2	0	57	5	5	29	17.24137931034483
OBSCN	0	0	0	0	22	0	0	0	0	22	5	5	29	17.24137931034483
NF1	4	1	0	0	3	2	0	0	0	10	5	5	29	17.24137931034483
MAGEL2	0	0	0	0	8	1	0	0	0	9	5	5	29	17.24137931034483
TSC2	1	0	0	0	6	1	0	0	0	8	5	5	29	17.24137931034483
ZAN	0	0	0	0	5	2	0	0	0	7	5	5	29	17.24137931034483
SYNE1	0	0	0	0	15	0	0	0	0	15	4	4	29	13.793103448275861
BSN	0	0	0	0	10	3	0	0	0	13	4	4	29	13.793103448275861
SETD1B	2	1	0	0	9	0	0	0	0	12	4	4	29	13.793103448275861
ATM	1	0	0	0	10	0	0	0	0	11	4	4	29	13.793103448275861
DNAH7	2	0	0	0	9	0	0	0	0	11	4	4	29	13.793103448275861
GLI2	0	0	0	0	10	0	0	0	0	10	4	4	29	13.793103448275861
APC2	0	0	0	0	9	0	0	0	0	9	4	4	29	13.793103448275861
DNAH5	0	0	0	0	7	1	0	1	0	9	4	4	29	13.793103448275861
DNAH8	1	0	0	0	8	0	0	0	0	9	4	4	29	13.793103448275861
LRP1	0	0	0	0	9	0	0	0	0	9	4	4	29	13.793103448275861
MYO7B	0	0	0	0	9	0	0	0	0	9	4	4	29	13.793103448275861
PLCB3	0	0	0	0	9	0	0	0	0	9	4	4	29	13.793103448275861
PTPN13	1	0	0	0	7	0	0	1	0	9	4	4	29	13.793103448275861
SDK2	0	0	0	0	8	1	0	0	0	9	4	4	29	13.793103448275861
SPTBN2	0	0	0	0	8	0	0	1	0	9	4	4	29	13.793103448275861
ZMYM2	1	1	0	0	6	0	0	1	0	9	4	4	29	13.793103448275861
KIF7	0	0	0	0	8	0	0	0	0	8	4	4	29	13.793103448275861
ESPL1	0	0	1	0	6	0	0	0	0	7	4	4	29	13.793103448275861
IQSEC1	1	0	0	0	6	0	0	0	0	7	4	4	29	13.793103448275861
KIAA1109	0	1	0	0	5	1	0	0	0	7	4	4	29	13.793103448275861
ASCC3	0	1	0	0	3	2	0	0	0	6	4	4	29	13.793103448275861
BCOR	1	0	0	0	2	2	0	1	0	6	4	4	29	13.793103448275861
BRCA2	1	1	0	0	4	0	0	0	0	6	4	4	29	13.793103448275861
CCDC7	1	0	0	0	3	2	0	0	0	6	4	4	29	13.793103448275861
COL18A1	0	0	0	0	6	0	0	0	0	6	4	4	29	13.793103448275861
FBN2	0	0	0	0	4	2	0	0	0	6	4	4	29	13.793103448275861
PCDH12	0	1	0	0	5	0	0	0	0	6	4	4	29	13.793103448275861
PCLO	0	0	0	0	6	0	0	0	0	6	4	4	29	13.793103448275861
PTEN	2	1	0	0	2	0	0	1	0	6	4	4	29	13.793103448275861
MYO1F	1	0	0	0	4	0	0	0	0	5	4	4	29	13.793103448275861
PARP14	1	0	0	0	4	0	0	0	0	5	4	4	29	13.793103448275861
PIK3CA	0	0	1	0	4	0	0	0	0	5	4	4	29	13.793103448275861
RAPGEF1	0	0	0	0	4	0	1	0	0	5	4	4	29	13.793103448275861
SPEG	0	0	0	0	5	0	0	0	0	5	4	4	29	13.793103448275861
TNRC18	0	1	1	0	3	0	0	0	0	5	4	4	29	13.793103448275861
CUX1	0	0	0	0	4	0	0	0	0	4	4	4	29	13.793103448275861
OTOP1	0	0	0	0	4	0	0	0	0	4	4	4	29	13.793103448275861
PIK3R1	0	0	1	0	2	0	0	1	0	4	4	4	29	13.793103448275861
SREBF2	0	0	0	0	3	0	0	1	0	4	4	4	29	13.793103448275861
TERT	0	0	0	0	4	0	0	0	0	4	4	4	29	13.793103448275861
UBXN11	0	0	1	1	2	0	0	0	0	4	4	4	29	13.793103448275861
NEB	0	1	0	0	23	0	0	1	0	25	3	3	29	10.344827586206897
PLEC	0	0	0	0	18	0	0	0	0	18	3	3	29	10.344827586206897
DNAH17	0	0	0	0	13	2	0	0	0	15	3	3	29	10.344827586206897
PRKDC	0	1	0	0	14	0	0	0	0	15	3	3	29	10.344827586206897
ANK3	0	0	0	0	14	0	0	0	0	14	3	3	29	10.344827586206897
KMT2D	0	1	0	0	12	0	0	1	0	14	3	3	29	10.344827586206897
RYR2	0	1	0	0	11	1	0	1	0	14	3	3	29	10.344827586206897
FSIP2	0	0	0	0	12	0	0	0	0	12	3	3	29	10.344827586206897
SSPO	0	0	0	0	12	0	0	0	0	12	3	3	29	10.344827586206897
AHNAK2	0	0	0	0	11	0	0	0	0	11	3	3	29	10.344827586206897
FN1	0	0	0	0	10	0	0	1	0	11	3	3	29	10.344827586206897
MUC5B	0	0	0	0	11	0	0	0	0	11	3	3	29	10.344827586206897
VPS13D	0	0	0	0	10	1	0	0	0	11	3	3	29	10.344827586206897
CENPF	0	0	0	0	9	0	0	1	0	10	3	3	29	10.344827586206897
CFAP47	0	1	0	0	8	0	0	1	0	10	3	3	29	10.344827586206897
CIC	1	0	0	0	8	0	0	1	0	10	3	3	29	10.344827586206897
CNTN2	0	0	0	0	10	0	0	0	0	10	3	3	29	10.344827586206897
CROCC	0	0	0	0	9	1	0	0	0	10	3	3	29	10.344827586206897
MYH14	0	0	0	0	8	0	0	2	0	10	3	3	29	10.344827586206897
SPTBN5	0	0	0	0	10	0	0	0	0	10	3	3	29	10.344827586206897
ADGRV1	0	0	0	0	9	0	0	0	0	9	3	3	29	10.344827586206897
ASPM	0	0	0	0	9	0	0	0	0	9	3	3	29	10.344827586206897
CASKIN1	0	0	1	0	8	0	0	0	0	9	3	3	29	10.344827586206897
CPSF1	0	0	0	0	9	0	0	0	0	9	3	3	29	10.344827586206897
DNAH14	0	0	0	0	9	0	0	0	0	9	3	3	29	10.344827586206897
DNHD1	0	0	0	0	7	1	0	1	0	9	3	3	29	10.344827586206897
EXPH5	0	0	0	0	9	0	0	0	0	9	3	3	29	10.344827586206897
FBN3	0	0	0	0	9	0	0	0	0	9	3	3	29	10.344827586206897
IGFN1	0	0	0	0	9	0	0	0	0	9	3	3	29	10.344827586206897
MYO15A	0	0	0	0	9	0	0	0	0	9	3	3	29	10.344827586206897
NES	1	0	1	0	7	0	0	0	0	9	3	3	29	10.344827586206897
PKHD1L1	1	0	0	0	8	0	0	0	0	9	3	3	29	10.344827586206897
TLN2	0	0	0	0	9	0	0	0	0	9	3	3	29	10.344827586206897
ZEB2	1	1	0	0	6	1	0	0	0	9	3	3	29	10.344827586206897
ABCA13	0	0	0	0	8	0	0	0	0	8	3	3	29	10.344827586206897
ABCA2	0	0	0	0	8	0	0	0	0	8	3	3	29	10.344827586206897
ADAMTS7	0	1	0	0	6	1	0	0	0	8	3	3	29	10.344827586206897
ADCY9	0	0	0	0	8	0	0	0	0	8	3	3	29	10.344827586206897
APOB	0	0	0	0	7	1	0	0	0	8	3	3	29	10.344827586206897
ATG2A	0	0	0	0	8	0	0	0	0	8	3	3	29	10.344827586206897
BRPF1	0	0	0	0	8	0	0	0	0	8	3	3	29	10.344827586206897
CAD	1	0	0	0	7	0	0	0	0	8	3	3	29	10.344827586206897
CEP192	0	0	0	0	8	0	0	0	0	8	3	3	29	10.344827586206897
DAB2IP	1	0	0	0	7	0	0	0	0	8	3	3	29	10.344827586206897
KIAA1549	0	1	0	0	6	0	0	1	0	8	3	3	29	10.344827586206897
MACF1	0	0	0	0	5	3	0	0	0	8	3	3	29	10.344827586206897
MYO7A	0	0	0	0	8	0	0	0	0	8	3	3	29	10.344827586206897
MYO9B	0	0	0	0	8	0	0	0	0	8	3	3	29	10.344827586206897
NIPBL	0	0	0	0	7	0	0	1	0	8	3	3	29	10.344827586206897
PTPN11	0	0	0	0	7	0	0	1	0	8	3	3	29	10.344827586206897
SMARCA4	0	0	0	0	7	0	0	1	0	8	3	3	29	10.344827586206897
TENM3	1	1	0	0	6	0	0	0	0	8	3	3	29	10.344827586206897
UBR4	0	0	0	0	8	0	0	0	0	8	3	3	29	10.344827586206897
ADGRG4	0	0	0	0	5	1	0	1	0	7	3	3	29	10.344827586206897
ANK2	0	0	0	0	6	1	0	0	0	7	3	3	29	10.344827586206897
ATG2B	0	0	0	0	5	2	0	0	0	7	3	3	29	10.344827586206897
CELSR2	0	0	0	0	7	0	0	0	0	7	3	3	29	10.344827586206897
DNAH9	0	0	0	0	6	1	0	0	0	7	3	3	29	10.344827586206897
FAAP100	0	0	0	0	6	1	0	0	0	7	3	3	29	10.344827586206897
HMCN2	0	0	0	0	7	0	0	0	0	7	3	3	29	10.344827586206897
HSPG2	0	0	0	0	7	0	0	0	0	7	3	3	29	10.344827586206897
KMT2B	0	0	0	0	6	0	0	1	0	7	3	3	29	10.344827586206897
KMT2C	0	1	0	0	6	0	0	0	0	7	3	3	29	10.344827586206897
LAMA3	0	0	0	0	7	0	0	0	0	7	3	3	29	10.344827586206897
MXRA5	0	0	0	0	6	1	0	0	0	7	3	3	29	10.344827586206897
PDZD7	0	0	1	0	6	0	0	0	0	7	3	3	29	10.344827586206897
PHLPP1	0	0	1	0	6	0	0	0	0	7	3	3	29	10.344827586206897
PRDM10	0	0	0	0	7	0	0	0	0	7	3	3	29	10.344827586206897
PTPRF	0	0	0	0	7	0	0	0	0	7	3	3	29	10.344827586206897
SLITRK5	0	0	0	0	7	0	0	0	0	7	3	3	29	10.344827586206897
SPHKAP	0	0	0	0	6	1	0	0	0	7	3	3	29	10.344827586206897
SYNE2	0	0	0	0	7	0	0	0	0	7	3	3	29	10.344827586206897
TNC	0	0	0	0	7	0	0	0	0	7	3	3	29	10.344827586206897
TPR	0	0	0	0	7	0	0	0	0	7	3	3	29	10.344827586206897
TTC6	0	0	0	0	6	0	0	1	0	7	3	3	29	10.344827586206897
VCAN	0	0	0	0	7	0	0	0	0	7	3	3	29	10.344827586206897
ZNF292	0	0	0	0	5	2	0	0	0	7	3	3	29	10.344827586206897
ADCY3	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
ATG9B	0	0	0	0	4	1	0	1	0	6	3	3	29	10.344827586206897
ATP7A	0	0	0	0	5	1	0	0	0	6	3	3	29	10.344827586206897
CACNA1H	0	1	0	0	4	1	0	0	0	6	3	3	29	10.344827586206897
CCDC57	0	0	0	0	5	0	0	1	0	6	3	3	29	10.344827586206897
CHL1	0	0	0	0	5	0	0	1	0	6	3	3	29	10.344827586206897
COL14A1	1	0	0	0	5	0	0	0	0	6	3	3	29	10.344827586206897
COL20A1	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
COL7A1	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
CRAMP1	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
CRIM1	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
DGKQ	0	0	0	0	4	0	0	2	0	6	3	3	29	10.344827586206897
DNMT3A	0	0	0	0	5	1	0	0	0	6	3	3	29	10.344827586206897
HEATR5B	0	0	0	0	5	1	0	0	0	6	3	3	29	10.344827586206897
HELZ2	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
HIVEP1	0	1	0	0	4	1	0	0	0	6	3	3	29	10.344827586206897
KNDC1	0	0	0	0	4	1	0	1	0	6	3	3	29	10.344827586206897
LRP1B	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
MAST4	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
MED12L	1	0	0	0	5	0	0	0	0	6	3	3	29	10.344827586206897
MINK1	0	0	0	0	5	1	0	0	0	6	3	3	29	10.344827586206897
MUC17	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
NCKAP5L	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
OTOF	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
PCSK5	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
RFX7	0	0	0	0	5	1	0	0	0	6	3	3	29	10.344827586206897
RIC1	0	0	0	1	5	0	0	0	0	6	3	3	29	10.344827586206897
SCN1A	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
SETD1A	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
SETD2	1	0	0	0	3	2	0	0	0	6	3	3	29	10.344827586206897
SHANK2	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
SLMAP	0	0	0	0	5	1	0	0	0	6	3	3	29	10.344827586206897
SUCO	1	0	0	0	4	0	0	1	0	6	3	3	29	10.344827586206897
TAS1R3	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
TBCD	0	0	0	0	5	0	0	1	0	6	3	3	29	10.344827586206897
TET1	0	1	0	0	5	0	0	0	0	6	3	3	29	10.344827586206897
TMC3	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
TRPM3	0	0	0	0	5	1	0	0	0	6	3	3	29	10.344827586206897
UPF2	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
VWF	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
ZFAT	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
ZNF536	0	0	0	0	6	0	0	0	0	6	3	3	29	10.344827586206897
ABCC12	0	0	0	0	4	1	0	0	0	5	3	3	29	10.344827586206897
ANKRD11	0	0	0	0	4	1	0	0	0	5	3	3	29	10.344827586206897
ANKS1A	0	0	0	0	4	0	0	1	0	5	3	3	29	10.344827586206897
APBB1IP	0	1	0	0	3	1	0	0	0	5	3	3	29	10.344827586206897
ASXL1	1	0	0	0	4	0	0	0	0	5	3	3	29	10.344827586206897
BAIAP2	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
CACNA1S	0	0	0	0	4	1	0	0	0	5	3	3	29	10.344827586206897
CCDC177	0	0	0	0	4	1	0	0	0	5	3	3	29	10.344827586206897
CDHR2	0	1	0	0	4	0	0	0	0	5	3	3	29	10.344827586206897
CELSR3	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
CENPB	0	0	0	0	3	0	0	0	2	5	3	3	29	10.344827586206897
CHERP	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
COL2A1	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
CPLANE1	1	0	0	0	4	0	0	0	0	5	3	3	29	10.344827586206897
CR1	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
DYSF	0	0	0	0	4	0	0	1	0	5	3	3	29	10.344827586206897
EFL1	0	0	0	0	4	1	0	0	0	5	3	3	29	10.344827586206897
EPPK1	0	0	0	0	2	3	0	0	0	5	3	3	29	10.344827586206897
FAM47B	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
FHDC1	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
FRMPD3	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
GNAS	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
GPR158	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
KALRN	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
LAMA1	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
LMTK2	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
LOXHD1	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
LYST	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
MAST1	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
MCM3AP	0	0	0	0	5	0	0	0	0	5	3	3	29	10.344827586206897
