Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
CTNNB1	0	0	0	18	0	0	0	18	18	18	18	100
AGAP9	0	0	0	2	0	0	0	2	2	2	18	11.11111111111111
DNAH5	2	0	0	0	0	0	0	2	2	2	18	11.11111111111111
KRTAP5-3	0	0	0	2	0	0	0	2	2	2	18	11.11111111111111
MANSC1	2	0	0	0	0	0	0	2	2	2	18	11.11111111111111
MUC5AC	0	0	0	2	0	0	0	2	2	2	18	11.11111111111111
TM6SF1	2	0	0	0	0	0	0	2	2	2	18	11.11111111111111
ZNF436	0	0	1	1	0	0	0	2	2	2	18	11.11111111111111
MUC17	0	0	0	4	0	0	0	4	1	1	18	5.555555555555555
APOBR	0	0	0	2	0	0	0	2	1	1	18	5.555555555555555
ZNF433	0	0	0	2	0	0	0	2	1	1	18	5.555555555555555
AC233724.16	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
ADGRB2	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
AGFG1	1	0	0	0	0	0	0	1	1	1	18	5.555555555555555
AHNAK2	1	0	0	0	0	0	0	1	1	1	18	5.555555555555555
AIP	1	0	0	0	0	0	0	1	1	1	18	5.555555555555555
ANKRD50	1	0	0	0	0	0	0	1	1	1	18	5.555555555555555
APOLD1	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
AQP12A	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
ARHGAP18	1	0	0	0	0	0	0	1	1	1	18	5.555555555555555
BICRA	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
BRWD1	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
BSN	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
BTN2A1	0	0	1	0	0	0	0	1	1	1	18	5.555555555555555
C16orf58	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
C2CD3	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
C2CD4D	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
C5orf60	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
CABP1	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
CACNA2D1	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
CAMSAP3	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
CARS2	1	0	0	0	0	0	0	1	1	1	18	5.555555555555555
CBX4	0	0	0	0	0	1	0	1	1	1	18	5.555555555555555
CCAR2	1	0	0	0	0	0	0	1	1	1	18	5.555555555555555
CCDC14	1	0	0	0	0	0	0	1	1	1	18	5.555555555555555
CCT2	1	0	0	0	0	0	0	1	1	1	18	5.555555555555555
CENPB	0	0	0	0	0	0	1	1	1	1	18	5.555555555555555
CHIC1	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
CNTNAP3B	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
CSNK1G3	1	0	0	0	0	0	0	1	1	1	18	5.555555555555555
CUL5	0	0	0	0	0	1	0	1	1	1	18	5.555555555555555
CUX1	1	0	0	0	0	0	0	1	1	1	18	5.555555555555555
DCLK3	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
DLST	1	0	0	0	0	0	0	1	1	1	18	5.555555555555555
DNAH17	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
EFCAB8	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
ENPP1	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
EPPK1	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
ERFE	0	0	0	0	0	1	0	1	1	1	18	5.555555555555555
EXOC3L4	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
FAM173A	0	0	0	1	0	0	0	1	1	1	18	5.555555555555555
