Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
PRAMEF19	0	0	0	4	0	0	0	4	3	3	24	12.5
RAMP2	0	0	3	0	0	0	0	3	3	3	24	12.5
TCHH	0	0	0	3	0	0	0	3	3	3	24	12.5
FGFR1	0	0	0	3	0	0	0	3	2	2	24	8.333333333333332
CENPB	0	0	0	0	0	0	2	2	2	2	24	8.333333333333332
H1FX	0	0	0	2	0	0	0	2	2	2	24	8.333333333333332
HRCT1	0	0	2	0	0	0	0	2	2	2	24	8.333333333333332
HSD17B12	0	0	0	1	0	1	0	2	2	2	24	8.333333333333332
IL32	0	2	0	0	0	0	0	2	2	2	24	8.333333333333332
MUC16	0	0	0	2	0	0	0	2	2	2	24	8.333333333333332
MUC17	0	0	0	2	0	0	0	2	2	2	24	8.333333333333332
MUC5AC	0	0	0	2	0	0	0	2	2	2	24	8.333333333333332
NBPF14	0	0	0	2	0	0	0	2	2	2	24	8.333333333333332
PDGFRA	0	0	0	2	0	0	0	2	2	2	24	8.333333333333332
PM20D2	0	0	0	2	0	0	0	2	2	2	24	8.333333333333332
SOX1	1	0	1	0	0	0	0	2	2	2	24	8.333333333333332
PRSS2	0	0	0	1	0	1	0	2	1	1	24	4.166666666666666
ADGRB2	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ADGRE1	0	0	0	0	1	0	0	1	1	1	24	4.166666666666666
ADRA1B	0	0	1	0	0	0	0	1	1	1	24	4.166666666666666
AHNAK2	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
AKAP2	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
AL133304.3	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
AMOT	0	0	1	0	0	0	0	1	1	1	24	4.166666666666666
ANKRD20A3	1	0	0	0	0	0	0	1	1	1	24	4.166666666666666
ANO8	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ARHGAP22	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ARHGAP44	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ARL11	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ASXL2	0	0	0	0	0	0	1	1	1	1	24	4.166666666666666
ATAD3C	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ATF5	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ATM	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ATP11A	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
BCL11B	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
BCOR	1	0	0	0	0	0	0	1	1	1	24	4.166666666666666
BDP1	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
BRAF	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CBWD5	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CCDC71L	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CCND2	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CD163	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CELF2	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CEP164	0	1	0	0	0	0	0	1	1	1	24	4.166666666666666
CFL2	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
CGREF1	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CHD6	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CITED4	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CLCA2	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CNTNAP3	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
COL27A1	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
COL4A2	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CROCC2	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
CXCL5	0	0	1	0	0	0	0	1	1	1	24	4.166666666666666
CXXC1	0	0	1	0	0	0	0	1	1	1	24	4.166666666666666
DIAPH1	0	0	1	0	0	0	0	1	1	1	24	4.166666666666666
DMRTA1	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DNTT	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
DSP	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ENPP1	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ERBB4	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
ERN2	0	0	0	0	0	1	0	1	1	1	24	4.166666666666666
EVX2	0	0	1	0	0	0	0	1	1	1	24	4.166666666666666
FKBP11	0	0	1	0	0	0	0	1	1	1	24	4.166666666666666
FOXD4L4	1	0	0	0	0	0	0	1	1	1	24	4.166666666666666
FOXF2	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
FRA10AC1	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
FRMPD1	0	0	0	1	0	0	0	1	1	1	24	4.166666666666666
