Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
FGFR1	0	0	0	3	0	0	0	3	2	2	19	10.526315789473683
CENPB	0	0	0	0	0	0	2	2	2	2	19	10.526315789473683
H1FX	0	0	0	2	0	0	0	2	2	2	19	10.526315789473683
HRCT1	0	0	2	0	0	0	0	2	2	2	19	10.526315789473683
MUC16	0	0	0	2	0	0	0	2	2	2	19	10.526315789473683
MUC5AC	0	0	0	2	0	0	0	2	2	2	19	10.526315789473683
NBPF14	0	0	0	2	0	0	0	2	2	2	19	10.526315789473683
PDGFRA	0	0	0	2	0	0	0	2	2	2	19	10.526315789473683
PRAMEF19	0	0	0	2	0	0	0	2	2	2	19	10.526315789473683
RAMP2	0	0	2	0	0	0	0	2	2	2	19	10.526315789473683
TCHH	0	0	0	2	0	0	0	2	2	2	19	10.526315789473683
PRSS2	0	0	0	1	0	1	0	2	1	1	19	5.263157894736842
ADGRE1	0	0	0	0	1	0	0	1	1	1	19	5.263157894736842
ADRA1B	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
AHNAK2	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
AKAP2	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
AL133304.3	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
AMOT	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
ANKRD20A3	1	0	0	0	0	0	0	1	1	1	19	5.263157894736842
ARHGAP22	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
ARL11	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
ATF5	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
BCOR	1	0	0	0	0	0	0	1	1	1	19	5.263157894736842
BDP1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
BRAF	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
CBWD5	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
CEP164	0	1	0	0	0	0	0	1	1	1	19	5.263157894736842
CFL2	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
CGREF1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
CNTNAP3	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
COL27A1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
CXCL5	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
CXXC1	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
DMRTA1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
DNTT	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
ERN2	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
FKBP11	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
FOXD4L4	1	0	0	0	0	0	0	1	1	1	19	5.263157894736842
FRA10AC1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
FRMPD1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
GCC2	0	1	0	0	0	0	0	1	1	1	19	5.263157894736842
GDPGP1	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
GEMIN8	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
GHDC	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
GLG1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
GLUL	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
GPR137C	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
GPR150	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
GPR162	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
GPR6	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
HRC	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
HSD17B12	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
HSPA12B	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
HSPB2	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
IDH2	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
IGHV3-30	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
IK	1	0	0	0	0	0	0	1	1	1	19	5.263157894736842
IL32	0	1	0	0	0	0	0	1	1	1	19	5.263157894736842
INAFM1	0	0	0	0	0	0	1	1	1	1	19	5.263157894736842
IRX1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
JAG2	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
KCNC2	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
KCNH4	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
KCNN3	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
KCNS2	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
KCTD17	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
KIAA2012	0	1	0	0	0	0	0	1	1	1	19	5.263157894736842
KIR2DL4	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
KL	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
KLHL15	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
KLRD1	1	0	0	0	0	0	0	1	1	1	19	5.263157894736842
LILRB4	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
LRP1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
LRP2	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
MAGEE1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
MUC17	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
MUC4	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
NBPF10	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
NBPF11	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
NCOR2	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
NEK10	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
NF1	0	0	0	0	1	0	0	1	1	1	19	5.263157894736842
NKX2-3	1	0	0	0	0	0	0	1	1	1	19	5.263157894736842
NPM1	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
OGT	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
ONECUT2	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
OTUD4	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
PAN3	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
PCDH7	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
PCNT	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
PDXK	0	0	0	0	0	0	1	1	1	1	19	5.263157894736842
PECAM1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
PIGX	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
PJA2	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
PKP3	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
PM20D2	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
POTEM	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
POU6F2	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
PRR12	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
PRRC2C	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
PRSS36	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
PTPN11	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
PXDN	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
RCOR1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
RNF225	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
RPP25	0	0	0	0	0	0	1	1	1	1	19	5.263157894736842
RRM1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
RTN4R	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
SCRT2	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
SEMA6B	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
SMARCC2	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
SOX1	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
SOX21	0	0	1	0	0	0	0	1	1	1	19	5.263157894736842
SPSB3	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
SUSD2	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
SWAP70	0	0	0	0	0	1	0	1	1	1	19	5.263157894736842
SYCP1	0	1	0	0	0	0	0	1	1	1	19	5.263157894736842
TCP11X2	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
TEX13C	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
TMEM64	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
TPGS1	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
TRAF3	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
TRIOBP	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
TRO	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
UBXN2B	0	0	0	1	0	0	0	1	1	1	19	5.263157894736842
