Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
BRAF	1	0	1	5	35	0	0	0	0	42	41	41	227	18.06167400881057
RAMP2	0	0	20	0	0	0	0	0	0	20	20	20	227	8.81057268722467
PHLPP1	0	0	17	0	0	0	0	0	0	17	17	17	227	7.488986784140969
MUC17	0	0	0	0	18	0	0	0	0	18	16	16	227	7.048458149779736
SOX1	5	0	10	0	0	0	0	0	0	15	15	15	227	6.607929515418502
AHNAK2	0	0	0	0	15	0	0	0	0	15	14	14	227	6.167400881057269
SAP30	0	0	0	0	11	0	0	0	0	11	11	11	227	4.845814977973569
FLG2	0	0	0	0	10	0	0	0	0	10	9	9	227	3.9647577092511015
RPL10	0	0	0	0	9	0	0	0	0	9	9	9	227	3.9647577092511015
CENPB	0	0	0	0	0	0	0	0	8	8	8	8	227	3.524229074889868
DEAF1	0	0	7	0	0	0	0	0	0	7	7	7	227	3.0837004405286343
MUC16	0	0	0	0	7	0	0	0	0	7	7	7	227	3.0837004405286343
NKX2-3	5	0	1	0	1	0	0	0	0	7	7	7	227	3.0837004405286343
SUSD2	0	0	0	0	7	0	0	0	0	7	7	7	227	3.0837004405286343
ZIC5	6	0	0	0	1	0	0	0	0	7	7	7	227	3.0837004405286343
ZNF761	0	0	0	0	7	0	0	0	0	7	7	7	227	3.0837004405286343
GAL3ST2	0	0	1	0	5	0	0	0	0	6	6	6	227	2.643171806167401
MUC5AC	0	0	0	0	6	0	0	0	0	6	6	6	227	2.643171806167401
OBSL1	0	1	0	0	5	0	0	0	0	6	6	6	227	2.643171806167401
SLC10A4	0	0	0	0	6	0	0	0	0	6	6	6	227	2.643171806167401
TCHH	0	0	0	0	6	0	0	0	0	6	6	6	227	2.643171806167401
FGFR1	0	0	0	0	8	0	0	0	0	8	5	5	227	2.2026431718061676
EPPK1	0	0	0	0	5	0	0	0	0	5	5	5	227	2.2026431718061676
H1FX	0	0	0	0	5	0	0	0	0	5	5	5	227	2.2026431718061676
IDH1	0	0	0	0	5	0	0	0	0	5	5	5	227	2.2026431718061676
KMT2A	0	0	0	0	5	0	0	0	0	5	5	5	227	2.2026431718061676
KMT2B	1	0	0	0	3	0	0	1	0	5	5	5	227	2.2026431718061676
MT-CYB	0	0	0	0	5	0	0	0	0	5	5	5	227	2.2026431718061676
MT-ND5	0	0	0	0	5	0	0	0	0	5	5	5	227	2.2026431718061676
PIK3CA	0	0	0	0	5	0	0	0	0	5	5	5	227	2.2026431718061676
PLEKHH3	5	0	0	0	0	0	0	0	0	5	5	5	227	2.2026431718061676
SPEG	0	0	0	0	4	0	0	1	0	5	5	5	227	2.2026431718061676
SRF	0	0	0	0	5	0	0	0	0	5	5	5	227	2.2026431718061676
ZNF493	0	0	0	0	5	0	0	0	0	5	5	5	227	2.2026431718061676
ZNF808	0	0	0	0	5	0	0	0	0	5	5	5	227	2.2026431718061676
PDGFRA	0	0	0	0	5	0	0	0	0	5	4	4	227	1.762114537444934
AHNAK	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
ARID1B	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
ATPAF1	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
BCOR	1	2	0	0	0	0	0	1	0	4	4	4	227	1.762114537444934
CDK13	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
CYS1	0	0	0	0	1	0	0	0	3	4	4	4	227	1.762114537444934
FOXD1	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
FOXQ1	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
IGHV3-11	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
KL	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
KRAS	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
LILRA6	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
MAGEC1	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
MTX1	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
MUC4	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
NBPF10	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
NCOR2	0	0	0	0	3	0	0	1	0	4	4	4	227	1.762114537444934
NOTCH1	0	0	0	0	3	0	0	1	0	4	4	4	227	1.762114537444934
NRBP2	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
PDCD7	0	0	0	0	3	1	0	0	0	4	4	4	227	1.762114537444934
PRSS12	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
PTGDR2	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
RGS11	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
RPTN	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
SAMD1	0	0	0	0	3	0	0	1	0	4	4	4	227	1.762114537444934
SCRT1	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
SHANK1	1	0	0	0	2	0	0	1	0	4	4	4	227	1.762114537444934
SIAH2	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
SP8	0	0	4	0	0	0	0	0	0	4	4	4	227	1.762114537444934
TGOLN2	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
ZNF517	0	0	0	0	4	0	0	0	0	4	4	4	227	1.762114537444934
COL3A1	0	0	0	0	2	0	0	24	0	26	3	3	227	1.3215859030837005
OBSCN	0	0	0	0	2	0	0	8	0	10	3	3	227	1.3215859030837005
VCP	0	1	0	0	1	0	0	4	0	6	3	3	227	1.3215859030837005
GPX4	0	0	0	0	0	0	0	4	0	4	3	3	227	1.3215859030837005
KMT2D	0	0	0	0	2	0	0	2	0	4	3	3	227	1.3215859030837005
TP53	2	0	0	0	2	0	0	0	0	4	3	3	227	1.3215859030837005
ADGRB1	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
C6orf141	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
CFL2	0	0	0	0	0	0	0	3	0	3	3	3	227	1.3215859030837005
CLTA	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
COPG1	0	0	0	0	2	0	0	1	0	3	3	3	227	1.3215859030837005
CROCC2	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
CRYL1	0	0	0	0	2	0	0	0	1	3	3	3	227	1.3215859030837005
CYP1B1	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
ECEL1	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
ENPP1	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
FAM207A	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
FAM47C	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
GATA6	0	0	2	0	1	0	0	0	0	3	3	3	227	1.3215859030837005
GIGYF2	1	0	1	0	0	0	0	1	0	3	3	3	227	1.3215859030837005
GLI3	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
GPR6	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
GRIN3B	0	0	1	0	1	0	1	0	0	3	3	3	227	1.3215859030837005
HEPHL1	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
HERC1	1	0	0	0	1	0	0	1	0	3	3	3	227	1.3215859030837005
HOXD9	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
IGFN1	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
IRAK1	0	0	0	0	2	0	0	1	0	3	3	3	227	1.3215859030837005
IRF2BPL	1	0	0	0	2	0	0	0	0	3	3	3	227	1.3215859030837005
KIF20B	1	1	1	0	0	0	0	0	0	3	3	3	227	1.3215859030837005
KRTAP16-1	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
LMTK3	0	0	0	0	3	0	0	0	0	3	3	3	227	1.3215859030837005
LRRIQ3	0	2	0	0	0	1	0	0	0	3	3	3	227	1.3215859030837005
MAP3K10	0	0	0	0	1	0	0	0	2	3	3	3	227	1.3215859030837005
