Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
MUC5AC	0	0	0	0	29	0	0	0	0	29	21	21	328	6.402439024390244
ALK	0	0	0	0	20	0	0	0	0	20	20	20	328	6.097560975609756
MUC16	0	0	0	0	18	2	0	1	0	21	17	17	328	5.182926829268292
KL	0	0	0	0	16	1	0	0	0	17	17	17	328	5.182926829268292
MT-ND5	0	0	0	0	13	0	0	0	0	13	12	12	328	3.6585365853658534
TTN	1	0	0	0	18	1	0	0	0	20	11	11	328	3.353658536585366
DNAH11	0	0	0	0	11	0	0	0	0	11	11	11	328	3.353658536585366
SP8	0	0	11	0	0	0	0	0	0	11	11	11	328	3.353658536585366
MT-CYB	0	0	0	0	16	0	0	0	0	16	10	10	328	3.048780487804878
OBSCN	0	0	0	1	12	1	0	0	0	14	10	10	328	3.048780487804878
FLG2	1	0	0	0	9	1	0	0	0	11	9	9	328	2.7439024390243905
MUC4	0	0	0	0	9	0	0	0	0	9	9	9	328	2.7439024390243905
NBPF11	0	0	0	0	9	0	0	0	0	9	9	9	328	2.7439024390243905
PARG	0	0	0	0	9	0	0	0	0	9	9	9	328	2.7439024390243905
FCGBP	0	0	0	0	8	0	0	0	0	8	8	8	328	2.4390243902439024
MT-ND1	0	0	0	0	8	0	0	0	0	8	8	8	328	2.4390243902439024
MUC17	0	0	0	0	8	0	0	0	0	8	8	8	328	2.4390243902439024
AHNAK2	0	0	0	0	10	0	0	0	0	10	7	7	328	2.1341463414634148
KIR2DL1	0	0	0	0	9	0	0	0	0	9	7	7	328	2.1341463414634148
LILRB3	0	0	0	0	9	0	0	0	0	9	7	7	328	2.1341463414634148
CNTNAP3B	0	0	0	0	8	0	0	0	0	8	7	7	328	2.1341463414634148
ASH1L	1	2	0	0	4	0	0	0	0	7	7	7	328	2.1341463414634148
DNAH9	0	0	0	0	7	0	0	0	0	7	7	7	328	2.1341463414634148
NBPF9	0	0	0	0	7	0	0	0	0	7	7	7	328	2.1341463414634148
NEB	0	0	0	0	6	1	0	0	0	7	7	7	328	2.1341463414634148
SOX1	1	0	6	0	0	0	0	0	0	7	7	7	328	2.1341463414634148
DNAH17	0	0	0	0	5	2	0	0	0	7	6	6	328	1.8292682926829267
FSIP2	1	0	0	0	5	1	0	0	0	7	6	6	328	1.8292682926829267
KIR2DL3	1	0	0	0	6	0	0	0	0	7	6	6	328	1.8292682926829267
NBPF10	0	0	0	0	7	0	0	0	0	7	6	6	328	1.8292682926829267
SPAG1	1	0	4	0	1	1	0	0	0	7	6	6	328	1.8292682926829267
BPTF	0	0	4	0	2	0	0	0	0	6	6	6	328	1.8292682926829267
C11orf95	0	0	6	0	0	0	0	0	0	6	6	6	328	1.8292682926829267
CENPB	0	0	0	0	0	0	0	0	6	6	6	6	328	1.8292682926829267
CTNND2	0	0	5	0	1	0	0	0	0	6	6	6	328	1.8292682926829267
DNHD1	0	0	1	0	5	0	0	0	0	6	6	6	328	1.8292682926829267
EPPK1	0	0	0	0	6	0	0	0	0	6	6	6	328	1.8292682926829267
HRC	0	0	2	4	0	0	0	0	0	6	6	6	328	1.8292682926829267
LRP1B	0	0	0	0	6	0	0	0	0	6	6	6	328	1.8292682926829267
MT-CO1	0	0	0	0	6	0	0	0	0	6	6	6	328	1.8292682926829267
MT-ND4	0	1	0	0	4	1	0	0	0	6	6	6	328	1.8292682926829267
RPL10	0	0	0	0	6	0	0	0	0	6	6	6	328	1.8292682926829267
TBC1D3B	0	0	0	0	6	0	0	0	0	6	6	6	328	1.8292682926829267
ADAMTS20	0	0	0	0	9	1	0	0	0	10	5	5	328	1.524390243902439
CCDC187	0	0	0	0	8	0	0	0	0	8	5	5	328	1.524390243902439
KIAA1671	0	0	0	0	8	0	0	0	0	8	5	5	328	1.524390243902439
GOLGA6L9	0	0	0	0	5	2	0	0	0	7	5	5	328	1.524390243902439
MACF1	0	0	0	0	4	3	0	0	0	7	5	5	328	1.524390243902439
C2orf16	0	0	0	0	6	0	0	0	0	6	5	5	328	1.524390243902439
FREM2	0	0	0	0	6	0	0	0	0	6	5	5	328	1.524390243902439
MYO15B	0	0	2	0	3	1	0	0	0	6	5	5	328	1.524390243902439
SYNE1	0	0	0	0	5	1	0	0	0	6	5	5	328	1.524390243902439
ZFHX3	0	0	1	0	4	1	0	0	0	6	5	5	328	1.524390243902439
ACTN3	0	0	0	0	1	3	0	1	0	5	5	5	328	1.524390243902439
ARID1B	0	0	3	1	1	0	0	0	0	5	5	5	328	1.524390243902439
ATRN	0	0	3	0	1	1	0	0	0	5	5	5	328	1.524390243902439
BCL11B	0	0	5	0	0	0	0	0	0	5	5	5	328	1.524390243902439
CASP5	0	5	0	0	0	0	0	0	0	5	5	5	328	1.524390243902439
CCDC30	5	0	0	0	0	0	0	0	0	5	5	5	328	1.524390243902439
CLUH	0	0	0	0	5	0	0	0	0	5	5	5	328	1.524390243902439
DDX10	0	0	2	0	3	0	0	0	0	5	5	5	328	1.524390243902439
DNAH10	1	0	0	0	4	0	0	0	0	5	5	5	328	1.524390243902439
EFCAB6	0	0	0	0	4	1	0	0	0	5	5	5	328	1.524390243902439
FGFRL1	1	2	0	0	2	0	0	0	0	5	5	5	328	1.524390243902439
LRP2	0	0	0	0	4	1	0	0	0	5	5	5	328	1.524390243902439
MAPK1	0	0	5	0	0	0	0	0	0	5	5	5	328	1.524390243902439
MLLT3	0	0	5	0	0	0	0	0	0	5	5	5	328	1.524390243902439
MN1	0	0	2	0	3	0	0	0	0	5	5	5	328	1.524390243902439
MT-ND2	0	0	0	0	5	0	0	0	0	5	5	5	328	1.524390243902439
MT-ND4L	0	0	0	0	5	0	0	0	0	5	5	5	328	1.524390243902439
NBPF14	0	0	0	0	5	0	0	0	0	5	5	5	328	1.524390243902439
PAXIP1	0	0	4	0	1	0	0	0	0	5	5	5	328	1.524390243902439
REXO1	0	0	3	1	1	0	0	0	0	5	5	5	328	1.524390243902439
SCAF1	0	0	5	0	0	0	0	0	0	5	5	5	328	1.524390243902439
SH3TC1	0	0	0	0	4	0	0	1	0	5	5	5	328	1.524390243902439
TAS2R19	0	0	0	0	5	0	0	0	0	5	5	5	328	1.524390243902439
TEX13C	0	0	0	0	5	0	0	0	0	5	5	5	328	1.524390243902439
TSPOAP1	0	0	1	0	3	1	0	0	0	5	5	5	328	1.524390243902439
NBPF26	0	0	0	0	9	0	0	0	0	9	4	4	328	1.2195121951219512
MYCBP2	1	0	0	0	4	2	0	0	0	7	4	4	328	1.2195121951219512
TENM4	0	0	0	0	7	0	0	0	0	7	4	4	328	1.2195121951219512
ADAMTS6	0	0	0	0	5	0	0	1	0	6	4	4	328	1.2195121951219512
DOCK8	0	0	0	0	5	1	0	0	0	6	4	4	328	1.2195121951219512
FAT2	0	0	0	0	5	1	0	0	0	6	4	4	328	1.2195121951219512
PRICKLE2	2	0	0	0	3	1	0	0	0	6	4	4	328	1.2195121951219512
BIRC6	0	0	0	0	3	2	0	0	0	5	4	4	328	1.2195121951219512
COL7A1	0	0	0	0	5	0	0	0	0	5	4	4	328	1.2195121951219512
DEPDC5	0	0	0	0	5	0	0	0	0	5	4	4	328	1.2195121951219512
DNAH3	0	0	0	0	4	1	0	0	0	5	4	4	328	1.2195121951219512
EPHA6	0	0	1	0	3	1	0	0	0	5	4	4	328	1.2195121951219512
FOXD4L4	0	0	0	0	4	1	0	0	0	5	4	4	328	1.2195121951219512
KIF26A	0	0	0	0	5	0	0	0	0	5	4	4	328	1.2195121951219512
LAMA5	0	0	0	0	4	0	0	1	0	5	4	4	328	1.2195121951219512
MAGI2	0	0	0	0	5	0	0	0	0	5	4	4	328	1.2195121951219512
PCDH9	0	0	0	0	5	0	0	0	0	5	4	4	328	1.2195121951219512
PRAMEF19	0	0	0	0	5	0	0	0	0	5	4	4	328	1.2195121951219512
SPTBN1	0	0	0	0	5	0	0	0	0	5	4	4	328	1.2195121951219512
TPO	0	0	0	0	4	0	0	1	0	5	4	4	328	1.2195121951219512
UTRN	0	0	0	0	5	0	0	0	0	5	4	4	328	1.2195121951219512
ABCA13	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
ABCB11	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
ABI3	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
AC118282.1	0	0	0	0	0	0	0	4	0	4	4	4	328	1.2195121951219512
ACACB	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
ADGRB1	0	0	2	0	2	0	0	0	0	4	4	4	328	1.2195121951219512
AGRN	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
ASTE1	3	1	0	0	0	0	0	0	0	4	4	4	328	1.2195121951219512
ASTN2	0	0	0	1	3	0	0	0	0	4	4	4	328	1.2195121951219512
BMP2K	0	0	3	0	1	0	0	0	0	4	4	4	328	1.2195121951219512
CD109	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
CD3EAP	0	0	3	0	1	0	0	0	0	4	4	4	328	1.2195121951219512
CENPF	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
CHD9	0	0	1	0	3	0	0	0	0	4	4	4	328	1.2195121951219512
CIC	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
COL14A1	0	0	0	0	3	0	0	1	0	4	4	4	328	1.2195121951219512
COL6A3	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
CPAMD8	0	0	0	0	3	1	0	0	0	4	4	4	328	1.2195121951219512
CPZ	0	0	1	0	3	0	0	0	0	4	4	4	328	1.2195121951219512
CUL9	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
CUX2	0	0	3	0	1	0	0	0	0	4	4	4	328	1.2195121951219512
DCHS1	0	0	3	0	1	0	0	0	0	4	4	4	328	1.2195121951219512
DGKG	0	0	0	0	3	0	0	1	0	4	4	4	328	1.2195121951219512
DHX37	0	0	1	0	3	0	0	0	0	4	4	4	328	1.2195121951219512
DLX6	0	0	2	0	2	0	0	0	0	4	4	4	328	1.2195121951219512
DMD	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
DNAH1	0	0	0	0	2	2	0	0	0	4	4	4	328	1.2195121951219512
DNAH7	1	0	0	0	2	1	0	0	0	4	4	4	328	1.2195121951219512
DNAH8	0	0	1	0	3	0	0	0	0	4	4	4	328	1.2195121951219512
DST	0	0	0	0	3	1	0	0	0	4	4	4	328	1.2195121951219512
ENAH	0	0	1	0	2	0	0	0	1	4	4	4	328	1.2195121951219512
FAM155A	0	0	4	0	0	0	0	0	0	4	4	4	328	1.2195121951219512
FANCM	0	2	0	0	2	0	0	0	0	4	4	4	328	1.2195121951219512
FBN2	1	0	0	0	3	0	0	0	0	4	4	4	328	1.2195121951219512
FCRL3	0	0	1	0	2	1	0	0	0	4	4	4	328	1.2195121951219512
FLG	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
FLII	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
FNBP4	0	0	2	0	1	1	0	0	0	4	4	4	328	1.2195121951219512
FNDC1	0	0	1	0	3	0	0	0	0	4	4	4	328	1.2195121951219512
FRAS1	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
FRG2C	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
GBP3	0	2	0	0	2	0	0	0	0	4	4	4	328	1.2195121951219512
HLA-A	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
HMCN1	0	0	0	0	3	0	0	1	0	4	4	4	328	1.2195121951219512
HRCT1	0	0	4	0	0	0	0	0	0	4	4	4	328	1.2195121951219512
IGHV1-69D	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
KIAA0100	0	0	0	0	2	2	0	0	0	4	4	4	328	1.2195121951219512
KIR3DL2	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
LOXHD1	0	0	0	0	3	1	0	0	0	4	4	4	328	1.2195121951219512
LRCOL1	0	0	4	0	0	0	0	0	0	4	4	4	328	1.2195121951219512
MAGEC1	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
MAP3K9	0	0	3	0	1	0	0	0	0	4	4	4	328	1.2195121951219512
MGAM2	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
MROH2B	0	0	0	0	3	0	0	1	0	4	4	4	328	1.2195121951219512
MT-ND6	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
MTA2	0	1	0	0	3	0	0	0	0	4	4	4	328	1.2195121951219512
MUC3A	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
MUC5B	0	0	0	1	2	1	0	0	0	4	4	4	328	1.2195121951219512
MYO3B	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
MYPN	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
NBPF12	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
NPIPB11	0	0	0	0	3	0	0	1	0	4	4	4	328	1.2195121951219512
NUSAP1	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
PECAM1	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
PKD1L1	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
PKHD1L1	0	0	0	0	3	1	0	0	0	4	4	4	328	1.2195121951219512
POU4F1	0	0	4	0	0	0	0	0	0	4	4	4	328	1.2195121951219512
PTEN	1	0	0	0	3	0	0	0	0	4	4	4	328	1.2195121951219512
PTPN11	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
PTPRQ	0	0	0	0	3	1	0	0	0	4	4	4	328	1.2195121951219512
QSER1	0	0	0	0	3	1	0	0	0	4	4	4	328	1.2195121951219512
RAD54L2	0	0	2	0	2	0	0	0	0	4	4	4	328	1.2195121951219512
RANGAP1	0	0	4	0	0	0	0	0	0	4	4	4	328	1.2195121951219512
RBM25	3	0	0	0	1	0	0	0	0	4	4	4	328	1.2195121951219512
RBMXL3	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
SEH1L	0	0	3	0	1	0	0	0	0	4	4	4	328	1.2195121951219512
SHROOM2	0	0	0	0	3	1	0	0	0	4	4	4	328	1.2195121951219512
SLC25A5	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
SRPX	0	0	4	0	0	0	0	0	0	4	4	4	328	1.2195121951219512
SUSD2	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
SYCP1	0	3	0	0	1	0	0	0	0	4	4	4	328	1.2195121951219512
TNC	0	0	0	0	3	0	0	1	0	4	4	4	328	1.2195121951219512
TNRC18	0	0	4	0	0	0	0	0	0	4	4	4	328	1.2195121951219512
USH2A	0	0	0	0	3	1	0	0	0	4	4	4	328	1.2195121951219512
UTP3	0	0	4	0	0	0	0	0	0	4	4	4	328	1.2195121951219512
VPS13A	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
VPS13B	0	0	0	0	4	0	0	0	0	4	4	4	328	1.2195121951219512
WDR87	0	1	1	0	2	0	0	0	0	4	4	4	328	1.2195121951219512
ACTL9	0	0	0	0	7	0	0	0	0	7	3	3	328	0.9146341463414633
ADGRV1	0	0	0	0	7	0	0	0	0	7	3	3	328	0.9146341463414633
RYR2	0	0	0	0	6	0	0	0	0	6	3	3	328	0.9146341463414633
ZZEF1	0	0	0	0	5	1	0	0	0	6	3	3	328	0.9146341463414633
AKAP6	0	0	0	0	5	0	0	0	0	5	3	3	328	0.9146341463414633
CIT	0	0	0	0	5	0	0	0	0	5	3	3	328	0.9146341463414633
DNAH12	0	0	0	0	5	0	0	0	0	5	3	3	328	0.9146341463414633
DPP4	0	0	0	0	5	0	0	0	0	5	3	3	328	0.9146341463414633
FBN1	0	0	0	0	5	0	0	0	0	5	3	3	328	0.9146341463414633
ICE1	0	1	0	0	4	0	0	0	0	5	3	3	328	0.9146341463414633
KIR3DL1	0	0	0	0	5	0	0	0	0	5	3	3	328	0.9146341463414633
PCLO	0	0	0	0	5	0	0	0	0	5	3	3	328	0.9146341463414633
PLEC	0	0	1	0	3	1	0	0	0	5	3	3	328	0.9146341463414633
PTPN13	1	0	0	1	3	0	0	0	0	5	3	3	328	0.9146341463414633
ROS1	0	0	0	0	5	0	0	0	0	5	3	3	328	0.9146341463414633
WDFY4	0	0	0	0	4	1	0	0	0	5	3	3	328	0.9146341463414633
ABCA1	0	0	0	0	4	0	0	0	0	4	3	3	328	0.9146341463414633
ANK3	0	0	0	0	4	0	0	0	0	4	3	3	328	0.9146341463414633
AQR	0	0	0	0	2	2	0	0	0	4	3	3	328	0.9146341463414633
BRWD3	0	0	0	0	2	1	0	1	0	4	3	3	328	0.9146341463414633
CCAR1	2	0	0	0	1	1	0	0	0	4	3	3	328	0.9146341463414633
CNTNAP3	0	0	0	0	4	0	0	0	0	4	3	3	328	0.9146341463414633
CNTRL	1	0	0	0	1	2	0	0	0	4	3	3	328	0.9146341463414633
COL11A1	0	0	0	0	3	0	0	1	0	4	3	3	328	0.9146341463414633
COL4A1	0	0	0	0	4	0	0	0	0	4	3	3	328	0.9146341463414633
CR1	0	0	0	0	4	0	0	0	0	4	3	3	328	0.9146341463414633
CUBN	0	0	0	0	4	0	0	0	0	4	3	3	328	0.9146341463414633
FASN	1	0	0	0	3	0	0	0	0	4	3	3	328	0.9146341463414633
GRIN1	0	0	2	0	1	1	0	0	0	4	3	3	328	0.9146341463414633
HECTD1	0	0	0	0	4	0	0	0	0	4	3	3	328	0.9146341463414633
KIAA1109	0	0	0	0	4	0	0	0	0	4	3	3	328	0.9146341463414633
KIAA1210	0	0	0	0	3	1	0	0	0	4	3	3	328	0.9146341463414633
MARK1	0	0	0	0	4	0	0	0	0	4	3	3	328	0.9146341463414633
