Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
CTNNB1	0	0	0	3	0	0	0	0	3	3	3	15	20
PHLPP1	0	0	3	0	0	0	0	0	3	3	3	15	20
CENPB	0	0	0	0	0	0	0	2	2	2	2	15	13.333333333333334
RAMP2	0	0	2	0	0	0	0	0	2	2	2	15	13.333333333333334
PRAMEF19	0	0	0	2	0	0	0	0	2	1	1	15	6.666666666666667
ABCC9	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
ADAMTS19	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
AFAP1L2	0	0	0	0	0	0	1	0	1	1	1	15	6.666666666666667
AKAP2	0	0	0	0	0	0	1	0	1	1	1	15	6.666666666666667
ALDH9A1	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
ANAPC7	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
ANKLE1	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
APOB	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
ARAP1	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
ARHGAP32	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
ARL6IP6	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
ATP13A3	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
BTLA	1	0	0	0	0	0	0	0	1	1	1	15	6.666666666666667
C5orf38	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
CACNA2D1	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
CASP3	0	0	1	0	0	0	0	0	1	1	1	15	6.666666666666667
CC2D1A	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
CCDC168	0	1	0	0	0	0	0	0	1	1	1	15	6.666666666666667
CCDC194	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
CCDC96	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
CDK14	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
CNPPD1	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
COL11A1	1	0	0	0	0	0	0	0	1	1	1	15	6.666666666666667
CTAGE15	1	0	0	0	0	0	0	0	1	1	1	15	6.666666666666667
CTNND2	0	0	0	0	0	0	0	1	1	1	1	15	6.666666666666667
DDX53	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
DDX60	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
DNAH10	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
ENTHD1	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
EXOSC7	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
FADS2	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
FAM124A	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
FAM207A	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
FAM83H	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
FAM92A	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
FBXW11	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
FDX1	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
FGD4	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
FGFR1	0	0	1	0	0	0	0	0	1	1	1	15	6.666666666666667
FGFRL1	1	0	0	0	0	0	0	0	1	1	1	15	6.666666666666667
FLG2	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
GDF7	0	0	0	0	0	1	0	0	1	1	1	15	6.666666666666667
GFPT1	1	0	0	0	0	0	0	0	1	1	1	15	6.666666666666667
GK2	0	0	0	1	0	0	0	0	1	1	1	15	6.666666666666667
