Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
NF2	1	0	0	0	1	0	0	2	2	2	6	33.33333333333333
SOX21	0	0	1	1	0	0	0	2	2	2	6	33.33333333333333
C14orf93	0	0	0	2	0	0	0	2	1	1	6	16.666666666666664
ACSL1	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
ACTR5	1	0	0	0	0	0	0	1	1	1	6	16.666666666666664
AHCYL2	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
AHNAK2	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
ANKRD20A3	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
ANKRD33B	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
ANKRD34C	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
ANTXR2	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
AREG	0	1	0	0	0	0	0	1	1	1	6	16.666666666666664
ARHGAP23	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
ATG7	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
ATP11B	0	0	0	0	0	0	1	1	1	1	6	16.666666666666664
BRINP1	0	0	0	0	0	1	0	1	1	1	6	16.666666666666664
C1S	0	0	0	0	0	1	0	1	1	1	6	16.666666666666664
C4orf50	1	0	0	0	0	0	0	1	1	1	6	16.666666666666664
CABLES1	0	0	0	0	0	0	1	1	1	1	6	16.666666666666664
CACNA1E	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
CCDC88C	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
CEP152	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
DACT2	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
DONSON	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
DSCAM	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
EBPL	0	1	0	0	0	0	0	1	1	1	6	16.666666666666664
EEF2K	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
EPHA10	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
FAM162B	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
FCHSD1	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
FDXR	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
FLII	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
FOXD3	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
FOXK1	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
FRAT1	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
G6PD	0	0	0	0	0	0	1	1	1	1	6	16.666666666666664
GAL3ST2	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
GAMT	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
GATAD1	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
GRIA1	0	1	0	0	0	0	0	1	1	1	6	16.666666666666664
GRIN2C	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
GSC	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
HECTD4	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
HLX	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
HNRNPDL	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
HPRT1	0	0	0	0	0	0	1	1	1	1	6	16.666666666666664
HSF5	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
IGF2R	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
IL20RA	0	0	0	0	0	1	0	1	1	1	6	16.666666666666664
KCNH2	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
KIF1A	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
KMT2D	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
LRRC53	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
MAGEC1	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
MAP3K9	0	0	1	0	0	0	0	1	1	1	6	16.666666666666664
MIB1	0	0	0	0	0	0	1	1	1	1	6	16.666666666666664
MKKS	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
MLNR	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
MYRF	0	0	1	0	0	0	0	1	1	1	6	16.666666666666664
NEU4	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
NKX2-3	0	0	1	0	0	0	0	1	1	1	6	16.666666666666664
NT5M	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
OBSL1	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
ODF2	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
OR10G2	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
OR8K1	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
PCNX3	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
PCYT2	1	0	0	0	0	0	0	1	1	1	6	16.666666666666664
PITPNM3	0	0	0	0	0	1	0	1	1	1	6	16.666666666666664
POM121C	1	0	0	0	0	0	0	1	1	1	6	16.666666666666664
PRR23A	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
PRSS53	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
RAMP2	0	0	1	0	0	0	0	1	1	1	6	16.666666666666664
RASAL3	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
RASGRP2	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
RBM46	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
RNF10	0	0	0	0	0	1	0	1	1	1	6	16.666666666666664
RNF169	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
RNF31	0	0	0	0	1	0	0	1	1	1	6	16.666666666666664
RNPEP	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
RNU6-642P	0	0	0	0	0	1	0	1	1	1	6	16.666666666666664
SCAPER	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
SLAIN1	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
SLC10A4	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
SLC25A13	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
SLC46A1	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
SP3	0	0	0	0	0	1	0	1	1	1	6	16.666666666666664
STIMATE	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
TCOF1	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
TGFBI	0	0	0	0	0	1	0	1	1	1	6	16.666666666666664
TLCD1	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
TMEM204	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
USP20	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
WTIP	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
YY1	0	0	1	0	0	0	0	1	1	1	6	16.666666666666664
ZDHHC18	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
ZFHX3	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
ZNF709	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
ZNF780B	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
ZSCAN22	0	0	0	1	0	0	0	1	1	1	6	16.666666666666664
