Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
BRAF	1	0	1	7	39	0	0	0	0	48	47	47	264	17.803030303030305
RAMP2	0	0	23	0	0	0	0	0	0	23	23	23	264	8.712121212121213
MUC17	0	0	0	0	22	0	0	0	0	22	18	18	264	6.8181818181818175
PHLPP1	0	0	18	0	0	0	0	0	0	18	18	18	264	6.8181818181818175
SOX1	6	0	11	0	0	0	0	0	0	17	17	17	264	6.4393939393939394
AHNAK2	0	0	0	0	17	0	0	0	0	17	16	16	264	6.0606060606060606
KL	0	0	0	0	14	0	0	0	0	14	12	12	264	4.545454545454546
SAP30	0	0	0	0	12	0	0	0	0	12	12	12	264	4.545454545454546
FLG2	0	0	0	0	12	0	0	0	0	12	11	11	264	4.166666666666666
RPL10	0	0	0	0	11	0	0	0	0	11	11	11	264	4.166666666666666
CENPB	0	0	0	0	0	0	0	0	9	9	9	9	264	3.4090909090909087
SUSD2	0	0	0	0	9	0	0	0	0	9	9	9	264	3.4090909090909087
FGFR1	0	0	0	0	12	0	0	0	0	12	8	8	264	3.0303030303030303
DEAF1	0	0	8	0	0	0	0	0	0	8	8	8	264	3.0303030303030303
MUC16	0	0	0	0	8	0	0	0	0	8	8	8	264	3.0303030303030303
NKX2-3	6	0	1	0	1	0	0	0	0	8	8	8	264	3.0303030303030303
ZIC5	7	0	0	0	1	0	0	0	0	8	8	8	264	3.0303030303030303
NBPF10	0	0	0	0	8	0	0	0	0	8	7	7	264	2.6515151515151514
NF1	0	1	0	0	1	5	0	1	0	8	7	7	264	2.6515151515151514
MT-ND5	0	0	0	0	6	1	0	0	0	7	7	7	264	2.6515151515151514
OBSL1	0	1	0	0	5	0	0	1	0	7	7	7	264	2.6515151515151514
ZNF761	0	0	0	0	7	0	0	0	0	7	7	7	264	2.6515151515151514
AHNAK	0	0	0	0	6	0	0	0	0	6	6	6	264	2.272727272727273
MAGEC1	0	0	0	0	6	0	0	0	0	6	6	6	264	2.272727272727273
MUC5AC	0	0	0	0	6	0	0	0	0	6	6	6	264	2.272727272727273
PIK3CA	0	0	0	0	6	0	0	0	0	6	6	6	264	2.272727272727273
SLC10A4	0	0	0	0	6	0	0	0	0	6	6	6	264	2.272727272727273
SP8	0	0	6	0	0	0	0	0	0	6	6	6	264	2.272727272727273
SPEG	0	0	0	0	4	0	0	2	0	6	6	6	264	2.272727272727273
SRF	0	0	0	0	6	0	0	0	0	6	6	6	264	2.272727272727273
TCHH	0	0	0	0	6	0	0	0	0	6	6	6	264	2.272727272727273
ZNF808	0	0	0	0	6	0	0	0	0	6	6	6	264	2.272727272727273
COL3A1	0	0	0	0	2	0	0	38	0	40	5	5	264	1.893939393939394
NOTCH1	0	0	0	0	3	0	0	7	0	10	5	5	264	1.893939393939394
NCOR2	0	0	0	0	3	0	0	4	0	7	5	5	264	1.893939393939394
SAMD1	0	0	0	0	3	0	0	3	0	6	5	5	264	1.893939393939394
CFL2	0	0	0	0	0	0	0	5	0	5	5	5	264	1.893939393939394
COPG1	0	0	0	0	2	0	0	3	0	5	5	5	264	1.893939393939394
EPPK1	0	0	0	0	5	0	0	0	0	5	5	5	264	1.893939393939394
FOXQ1	0	0	0	0	5	0	0	0	0	5	5	5	264	1.893939393939394
GAL3ST2	0	0	1	0	4	0	0	0	0	5	5	5	264	1.893939393939394
H1FX	0	0	0	0	5	0	0	0	0	5	5	5	264	1.893939393939394
IDH1	0	0	0	0	5	0	0	0	0	5	5	5	264	1.893939393939394
IGHV3-11	0	0	0	0	5	0	0	0	0	5	5	5	264	1.893939393939394
KMT2A	0	0	0	0	5	0	0	0	0	5	5	5	264	1.893939393939394
KMT2B	1	0	0	0	3	0	0	1	0	5	5	5	264	1.893939393939394
KRAS	0	0	0	0	5	0	0	0	0	5	5	5	264	1.893939393939394
MT-CYB	0	0	0	0	5	0	0	0	0	5	5	5	264	1.893939393939394
NRBP2	0	0	0	0	5	0	0	0	0	5	5	5	264	1.893939393939394
PLEKHH3	5	0	0	0	0	0	0	0	0	5	5	5	264	1.893939393939394
PRAMEF19	0	0	0	0	5	0	0	0	0	5	5	5	264	1.893939393939394
RPTN	0	0	0	0	5	0	0	0	0	5	5	5	264	1.893939393939394
SEC13	0	0	0	0	0	0	0	5	0	5	5	5	264	1.893939393939394
