Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	Translation_Start_Site	total	MutatedSamples	AlteredSamples	n_samples	altered_sample_percentage
SMARCB1	4	0	0	0	0	6	0	0	10	10	10	27	37.03703703703704
SP8	0	0	4	0	0	0	0	0	4	4	4	27	14.814814814814813
RAMP2	0	0	3	0	0	0	0	0	3	3	3	27	11.11111111111111
SUSD2	0	0	0	0	2	0	1	0	3	3	3	27	11.11111111111111
LAMA5	0	0	0	0	1	0	22	0	23	2	2	27	7.4074074074074066
PLEC	0	0	0	0	1	0	15	0	16	2	2	27	7.4074074074074066
LAMB2	0	0	0	0	1	0	14	0	15	2	2	27	7.4074074074074066
AGRN	0	0	0	0	1	0	13	0	14	2	2	27	7.4074074074074066
CHD3	0	0	1	0	0	0	7	0	8	2	2	27	7.4074074074074066
COL5A1	0	0	0	0	0	0	6	0	6	2	2	27	7.4074074074074066
SLC4A2	0	0	0	0	1	0	4	0	5	2	2	27	7.4074074074074066
ZSWIM8	0	0	0	0	1	0	4	0	5	2	2	27	7.4074074074074066
CASC3	0	0	0	0	2	0	1	0	3	2	2	27	7.4074074074074066
GCN1	0	0	0	0	1	0	2	0	3	2	2	27	7.4074074074074066
GIGYF1	0	0	0	0	1	0	2	0	3	2	2	27	7.4074074074074066
KMT2B	0	0	0	0	0	0	3	0	3	2	2	27	7.4074074074074066
MAN2B1	0	0	0	0	1	0	2	0	3	2	2	27	7.4074074074074066
PLXND1	0	0	1	0	0	0	2	0	3	2	2	27	7.4074074074074066
TALDO1	0	0	1	0	0	0	2	0	3	2	2	27	7.4074074074074066
AHNAK	0	0	0	0	1	0	1	0	2	2	2	27	7.4074074074074066
CALD1	0	0	0	0	1	0	1	0	2	2	2	27	7.4074074074074066
CYP1B1	0	0	0	0	1	0	1	0	2	2	2	27	7.4074074074074066
FAM155B	0	0	1	0	1	0	0	0	2	2	2	27	7.4074074074074066
FGFR2	0	0	0	0	2	0	0	0	2	2	2	27	7.4074074074074066
GAPDH	0	0	0	0	0	0	1	1	2	2	2	27	7.4074074074074066
GNAI2	0	0	0	0	1	0	1	0	2	2	2	27	7.4074074074074066
HARS	0	0	0	0	1	0	1	0	2	2	2	27	7.4074074074074066
HSPA8	0	0	0	0	1	0	1	0	2	2	2	27	7.4074074074074066
KIR2DL3	0	0	0	0	2	0	0	0	2	2	2	27	7.4074074074074066
KMT2A	0	0	0	0	1	0	1	0	2	2	2	27	7.4074074074074066
MEPCE	1	0	0	0	0	0	1	0	2	2	2	27	7.4074074074074066
MUCL3	0	1	0	0	1	0	0	0	2	2	2	27	7.4074074074074066
NEXMIF	0	1	0	0	1	0	0	0	2	2	2	27	7.4074074074074066
NKX2-3	2	0	0	0	0	0	0	0	2	2	2	27	7.4074074074074066
PHLDA1	1	0	0	0	0	0	1	0	2	2	2	27	7.4074074074074066
POGZ	0	0	0	0	1	0	1	0	2	2	2	27	7.4074074074074066
PRPF8	1	0	0	0	0	0	1	0	2	2	2	27	7.4074074074074066
SIGLEC7	1	0	0	0	1	0	0	0	2	2	2	27	7.4074074074074066
SLC10A4	0	0	0	0	2	0	0	0	2	2	2	27	7.4074074074074066
UBE4B	0	0	0	0	1	0	1	0	2	2	2	27	7.4074074074074066
ZNF598	0	0	0	0	1	0	1	0	2	2	2	27	7.4074074074074066
ZNF708	0	0	1	0	1	0	0	0	2	2	2	27	7.4074074074074066
ZNF891	0	0	0	0	2	0	0	0	2	2	2	27	7.4074074074074066
HSPG2	0	0	0	0	0	0	48	0	48	1	1	27	3.7037037037037033
LRP1	0	0	0	0	0	0	45	0	45	1	1	27	3.7037037037037033
FASN	0	0	0	0	0	0	35	0	35	1	1	27	3.7037037037037033
FLNA	0	0	0	0	0	0	32	0	32	1	1	27	3.7037037037037033
COL1A1	0	0	0	0	0	0	29	0	29	1	1	27	3.7037037037037033
TLN1	0	0	0	0	0	0	24	0	24	1	1	27	3.7037037037037033
COL3A1	0	0	0	0	0	0	22	0	22	1	1	27	3.7037037037037033
COL1A2	0	0	0	0	1	0	20	0	21	1	1	27	3.7037037037037033
PLXNB2	0	0	0	0	0	0	17	0	17	1	1	27	3.7037037037037033
TTN	0	0	0	0	0	0	17	0	17	1	1	27	3.7037037037037033
MUC5B	0	0	0	0	0	0	15	0	15	1	1	27	3.7037037037037033
